,path,CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9
0,A->B,0,0,0,0,0,0,0,0,0,0
1,A->C->D->B,0,0,0,0,0,0,0,0,0,0
2,A->C->D->E->F->B,0,0,0,0,0,0,0,0,0,0
3,A->C->D->F->B,0,0,0,0,0,0,0,0,0,0
4,A->C->E->D->B,0,0,0,0,0,0,0,0,0,0
5,A->C->E->D->F->B,0,0,0,0,0,0,0,0,0,0
6,A->C->E->F->B,0,0,0,0,0,0,0,0,0,0
7,A->C->E->F->D->B,0,0,0,0,0,0,0,0,0,0
8,A->D->B,0,0,0,0,0,0,0,0,0,1
9,A->D->C->E->F->B,0,0,0,0,0,0,0,0,0,0
10,A->D->E->F->B,0,0,0,0,0,0,0,0,0,0
11,A->D->F->B,0,0,0,0,0,0,0,0,0,1
12,A->B->D->C,0,0,0,0,0,0,0,0,0,0
13,A->B->D->E->C,0,0,0,0,0,0,0,0,0,0
14,A->B->D->F->E->C,0,0,0,0,0,0,0,0,0,0
15,A->B->F->D->C,0,0,0,0,0,0,0,0,0,0
16,A->B->F->D->E->C,0,0,0,0,0,0,0,0,0,0
17,A->B->F->E->C,0,0,0,0,0,0,0,0,0,0
18,A->B->F->E->D->C,0,0,0,0,0,0,0,0,0,0
19,A->C,0,0,0,0,0,0,0,0,1,1
20,A->D->B->F->E->C,0,0,0,0,0,0,0,0,0,0
21,A->D->C,0,0,0,0,0,0,0,0,0,1
22,A->D->E->C,0,0,0,0,0,0,0,0,0,0
23,A->D->F->E->C,0,0,0,0,0,0,0,0,0,0
24,A->B->D,0,0,0,0,0,0,0,0,0,0
25,A->B->F->D,0,0,0,0,0,0,0,0,0,0
26,A->B->F->E->C->D,0,0,0,0,0,0,0,0,0,0
27,A->B->F->E->D,0,0,0,0,0,0,0,0,0,0
28,A->C->D,0,0,0,0,0,0,0,0,0,0
29,A->C->E->D,0,0,0,0,0,0,0,0,0,0
30,A->C->E->F->B->D,0,0,0,0,0,0,0,0,0,0
31,A->C->E->F->D,0,0,0,0,0,0,0,0,0,0
