,path,CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9
0,A->B,1,1,1,1,1,1,1,1,1,1
1,A->C->D->B,1,1,1,1,1,1,1,1,1,1
2,A->C->D->E->F->B,1,1,1,1,1,1,1,1,1,1
3,A->C->D->F->B,1,1,1,1,1,1,1,1,1,1
4,A->C->E->D->B,1,1,1,1,1,1,1,1,1,1
5,A->C->E->D->F->B,1,1,1,1,1,1,1,1,1,1
6,A->C->E->F->B,1,1,1,1,1,1,1,1,1,1
7,A->C->E->F->D->B,1,1,1,1,1,1,1,1,1,1
8,A->D->B,1,1,1,1,1,1,1,1,1,1
9,A->D->C->E->F->B,1,1,1,1,1,1,1,1,1,1
10,A->D->E->F->B,1,1,1,1,1,1,1,1,1,1
11,A->D->F->B,1,1,1,1,1,1,1,1,1,1
12,A->B->D->C,1,1,1,1,1,1,1,1,1,1
13,A->B->D->E->C,1,1,1,1,1,1,1,1,1,1
14,A->B->D->F->E->C,1,1,1,1,1,1,1,1,1,1
15,A->B->F->D->C,1,1,1,1,1,1,1,1,1,1
16,A->B->F->D->E->C,1,1,1,1,1,1,1,1,1,1
17,A->B->F->E->C,1,1,1,1,1,1,1,1,1,1
18,A->B->F->E->D->C,1,1,1,1,1,1,1,1,1,1
19,A->C,1,1,1,1,1,1,1,1,1,1
20,A->D->B->F->E->C,1,1,1,1,1,1,1,1,1,1
21,A->D->C,1,1,1,1,1,1,1,1,1,1
22,A->D->E->C,1,1,1,1,1,1,1,1,1,1
23,A->D->F->E->C,1,1,1,1,1,1,1,1,1,1
24,A->B->D,1,1,1,1,1,1,1,1,1,1
25,A->B->F->D,1,1,1,1,1,1,1,1,1,1
26,A->B->F->E->C->D,1,1,1,1,1,1,1,1,1,1
27,A->B->F->E->D,1,1,1,1,1,1,1,1,1,1
28,A->C->D,1,1,1,1,1,1,1,1,1,1
29,A->C->E->D,1,1,1,1,1,1,1,1,1,1
30,A->C->E->F->B->D,1,1,1,1,1,1,1,1,1,1
31,A->C->E->F->D,1,1,1,1,1,1,1,1,1,1
32,A->D,1,1,1,1,1,1,1,1,1,1
33,A->B->D->C->E,1,1,1,1,1,1,1,1,1,1
34,A->B->D->E,1,1,1,1,1,1,1,1,1,1
35,A->B->D->F->E,1,1,1,1,1,1,1,1,1,1
36,A->B->F->D->C->E,1,1,1,1,1,1,1,1,1,1
37,A->B->F->D->E,1,1,1,1,1,1,1,1,1,1
38,A->B->F->E,1,1,1,1,1,1,1,1,1,1
39,A->C->D->B->F->E,1,1,1,1,1,1,1,1,1,1
40,A->C->D->E,1,1,1,1,1,1,1,1,1,1
41,A->C->D->F->E,1,1,1,1,1,1,1,1,1,1
42,A->C->E,1,1,1,1,1,1,1,1,1,1
43,A->D->B->F->E,1,1,1,1,1,1,1,1,1,1
44,A->D->C->E,1,1,1,1,1,1,1,1,1,1
45,A->D->E,1,1,1,1,1,1,1,1,1,1
46,A->D->F->E,1,1,1,1,1,1,1,1,1,1
47,A->B->D->C->E->F,1,1,1,1,1,1,1,1,1,1
48,A->B->D->E->F,1,1,1,1,1,1,1,1,1,1
